kappa,lambda_at_sbar,dlnY_dz,dlnR_dz,sbar,kappa_R_star,kappa_Y_star
0.3460000000,0.2010281189,-0.1010281189,-0.0135281189,0.2500000000,0.4233766234,0.9003322259
0.3480000000,0.2006806841,-0.1006806841,-0.0131806841,0.2500000000,0.4233766234,0.9003322259
0.3500000000,0.2003331314,-0.1003331314,-0.0128331314,0.2500000000,0.4233766234,0.9003322259
0.3520000000,0.1999854609,-0.0999854609,-0.0124854609,0.2500000000,0.4233766234,0.9003322259
0.3540000000,0.1996376724,-0.0996376724,-0.0121376724,0.2500000000,0.4233766234,0.9003322259
0.3560000000,0.1992897658,-0.0992897658,-0.0117897658,0.2500000000,0.4233766234,0.9003322259
0.3580000000,0.1989417412,-0.0989417412,-0.0114417412,0.2500000000,0.4233766234,0.9003322259
0.3600000000,0.1985935984,-0.0985935984,-0.0110935984,0.2500000000,0.4233766234,0.9003322259
0.3620000000,0.1982453375,-0.0982453375,-0.0107453375,0.2500000000,0.4233766234,0.9003322259
0.3640000000,0.1978969582,-0.0978969582,-0.0103969582,0.2500000000,0.4233766234,0.9003322259
0.3660000000,0.1975484607,-0.0975484607,-0.0100484607,0.2500000000,0.4233766234,0.9003322259
0.3680000000,0.1971998447,-0.0971998447,-0.0096998447,0.2500000000,0.4233766234,0.9003322259
0.3700000000,0.1968511103,-0.0968511103,-0.0093511103,0.2500000000,0.4233766234,0.9003322259
0.3720000000,0.1965022574,-0.0965022574,-0.0090022574,0.2500000000,0.4233766234,0.9003322259
0.3740000000,0.1961532859,-0.0961532859,-0.0086532859,0.2500000000,0.4233766234,0.9003322259
0.3760000000,0.1958041958,-0.0958041958,-0.0083041958,0.2500000000,0.4233766234,0.9003322259
0.3780000000,0.1954549870,-0.0954549870,-0.0079549870,0.2500000000,0.4233766234,0.9003322259
0.3800000000,0.1951056595,-0.0951056595,-0.0076056595,0.2500000000,0.4233766234,0.9003322259
0.3820000000,0.1947562131,-0.0947562131,-0.0072562131,0.2500000000,0.4233766234,0.9003322259
