s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.0820000000,0.1128932645,0.0736525268,0.0332281498,0.1000000000,0.1287000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0840000000,0.1152795467,0.0752354779,0.0339544423,0.1000000000,0.1294000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0860000000,0.1176490928,0.0768085494,0.0346767783,0.1000000000,0.1301000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0880000000,0.1200019530,0.0783717604,0.0353951613,0.1000000000,0.1308000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0900000000,0.1223381770,0.0799251304,0.0361095948,0.1000000000,0.1315000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0920000000,0.1246578146,0.0814686784,0.0368200823,0.1000000000,0.1322000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0940000000,0.1269609152,0.0830024237,0.0375266272,0.1000000000,0.1329000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0960000000,0.1292475280,0.0845263852,0.0382292331,0.1000000000,0.1336000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0980000000,0.1315177021,0.0860405822,0.0389279034,0.1000000000,0.1343000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1000000000,0.1337714863,0.0875450335,0.0396226415,0.1000000000,0.1350000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1020000000,0.1360089295,0.0890397581,0.0403134510,0.1000000000,0.1357000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1040000000,0.1382300799,0.0905247749,0.0410003352,0.1000000000,0.1364000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1060000000,0.1404349860,0.0920001027,0.0416832977,0.1000000000,0.1371000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1080000000,0.1426236958,0.0934657605,0.0423623419,0.1000000000,0.1378000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1100000000,0.1447962572,0.0949217668,0.0430374712,0.1000000000,0.1385000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1120000000,0.1469527179,0.0963681404,0.0437086891,0.1000000000,0.1392000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1140000000,0.1490931255,0.0978049000,0.0443759990,0.1000000000,0.1399000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.1160000000,0.1512175274,0.0992320642,0.0450394043,0.1000000000,0.1406000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
