scenario,z,G,d_P,consumer_platform_wedge,regime,platform_share,consumer_price_index,producer_entry_threshold_G_E,local_producer_income,nominal_local_income,consumption_equivalent_income
baseline,0.5,0.75,0.4,1.0,P,0.7654736973358506,0.8287204603409497,0.3300377585294501,1.187600205812672,3.552743915364025,3.7942075410128124
facilitation,0.5,0.9,0.4,1.0,L,0.7654736973358506,0.8287204603409497,0.3300377585294501,3.7113351666788295,7.651383146785132,8.17141238611787
protection,0.5,0.75,0.5,1.1,L,0.6695999405698552,0.8875192331262577,0.652931857878205,3.3919049478215735,7.373719040200437,7.688194557807449
