z,c,G_E,G_L,platform_interval_width
0.5,0.6125,0.0,0.0,0.0
0.5,0.61375,0.0,0.0,0.0
0.5,0.615,0.0,0.0,0.0
0.5,0.61625,0.0,0.0,0.0
0.5,0.6175,0.0,0.0,0.0
0.5,0.61875,0.0,0.0,0.0
0.5,0.62,0.0,0.0,0.0
0.5,0.6212500000000001,0.0,0.0,0.0
0.5,0.6225,0.0,0.0,0.0
0.5,0.62375,0.0,0.0,0.0
0.5,0.625,0.0,0.0,0.0
0.5,0.62625,0.0,0.0,0.0
0.5,0.6275,0.0,0.0,0.0
0.5,0.62875,0.0,0.0,0.0
0.5,0.63,0.0,0.0,0.0
0.5,0.63125,0.0,0.0,0.0
0.5,0.6325000000000001,0.0,0.0,0.0
0.5,0.63375,0.0,0.0,0.0
0.5,0.635,0.0,0.0,0.0
0.5,0.63625,0.0,0.0,0.0
0.5,0.6375,0.0,0.0,0.0
0.5,0.63875,0.0,0.0,0.0
0.5,0.64,0.0,0.0,0.0
0.5,0.64125,0.0,0.0,0.0
0.5,0.6425000000000001,0.0,0.0,0.0
0.5,0.64375,0.0,0.0,0.0
0.5,0.645,0.0,0.0,0.0
0.5,0.64625,0.0,0.0,0.0
0.5,0.6475,0.0,0.0,0.0
0.5,0.64875,0.0,0.0,0.0
0.5,0.65,0.0,0.0,0.0
0.5,0.65125,0.0,0.0,0.0
0.5,0.6525000000000001,0.0,0.0,0.0
0.5,0.65375,0.0,0.0,0.0
0.5,0.655,0.0,0.0,0.0
0.5,0.65625,0.0,0.0,0.0
0.5,0.6575,0.0,0.0,0.0
0.5,0.65875,0.0,0.0,0.0
0.5,0.66,0.0,0.0,0.0
0.5,0.66125,0.0,0.0,0.0
0.5,0.6625,0.0,0.0,0.0
0.5,0.6637500000000001,0.0,0.0,0.0
0.5,0.665,0.0,0.0,0.0
0.5,0.66625,0.0,0.0,0.0
0.5,0.6675,0.0,0.0,0.0
0.5,0.66875,0.0,0.0,0.0
0.5,0.67,0.0,0.0,0.0
0.5,0.67125,0.0,0.0,0.0
0.5,0.6725,0.0,0.0,0.0
0.5,0.6737500000000001,0.0,0.0,0.0
0.5,0.675,0.0,0.0,0.0
0.5,0.67625,0.0,0.0,0.0
0.5,0.6775,0.0,0.0,0.0
0.5,0.67875,0.0,0.0,0.0
0.5,0.68,0.0,0.0,0.0
0.5,0.68125,0.0,0.0,0.0
0.5,0.6825,0.0,0.0,0.0
0.5,0.6837500000000001,0.0,0.0,0.0
0.5,0.685,0.0,0.0,0.0
0.5,0.68625,0.0,0.0,0.0
0.5,0.6875,0.0,0.0,0.0
0.5,0.68875,0.0,0.0,0.0
0.5,0.69,0.0,0.0,0.0
0.5,0.69125,0.0,0.0,0.0
0.5,0.6925,0.0,0.0,0.0
0.5,0.69375,0.0,0.0,0.0
0.5,0.6950000000000001,0.0,0.0,0.0
0.5,0.69625,0.0,0.0,0.0
0.5,0.6975,0.0,0.0,0.0
0.5,0.69875,0.0,0.0,0.0
0.5,0.7,0.0,0.0,0.0
0.5,0.70125,0.0,0.0,0.0
0.5,0.7025,0.0,0.0,0.0
0.5,0.7037500000000001,0.0,0.0,0.0
0.5,0.7050000000000001,0.0,0.0,0.0
0.5,0.70625,0.0,0.0,0.0
0.5,0.7075,0.0,0.0,0.0
0.5,0.70875,0.0,0.0,0.0
0.5,0.71,0.0,0.0,0.0
0.5,0.7112499999999999,0.0,0.0,0.0
0.5,0.7125,0.0,0.0,0.0
0.5,0.71375,0.0,0.0,0.0
0.5,0.7150000000000001,0.0,0.0,0.0
0.5,0.71625,0.0,0.0,0.0
