scenario,z,G,nominal_effect,real_effect,nominal_income,real_income,regime
baseline,0.5,0.0,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.01,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.02,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.03,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.04,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.05,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.06,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.07,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.08,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.09,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.1,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.11,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.12,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.13,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.14,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.15,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.16,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.17,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.18,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.19,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.2,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.21,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.22,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.23,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.24,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.25,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.26,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.27,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.28,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.29,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.3,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.31,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.32,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.33,-0.3061308357315036,-0.03821504166395595,1.6240371096711501,1.7344154251454285,0
baseline,0.5,0.34,-0.1838318374500711,0.08408395661747659,3.132135826407433,3.3450126592684097,P
baseline,0.5,0.35000000000000003,-0.180553377014485,0.08736241705306266,3.141211618857841,3.3547052914919395,P
baseline,0.5,0.36,-0.1772568579514463,0.09065893611610137,3.1503420297544347,3.3644562543256487,P
baseline,0.5,0.37,-0.17394228206908946,0.09397351199845821,3.1595273877929926,3.374265898805253,P
baseline,0.5,0.38,-0.17060965182637922,0.09730614224116846,3.168768023647396,3.384134578079013,P
baseline,0.5,0.39,-0.1672589703331637,0.10065682373438398,3.1780642699815336,3.3940626474204487,P
baseline,0.5,0.4,-0.16389024135015817,0.1040255527173895,3.1874164614612774,3.4040504642411284,P
baseline,0.5,0.41000000000000003,-0.16050346928885784,0.10741232477868984,3.196824934766531,3.4140983881035365,P
baseline,0.5,0.42,-0.15709865921138078,0.1108171348561669,3.206290028603349,3.4242067807340164,P
baseline,0.5,0.43,-0.1536758168302401,0.11423997723730758,3.215812083716133,3.434376006035796,P
baseline,0.5,0.44,-0.15023494850804647,0.1176808455595012,3.2253914428998938,3.4446064301020836,P
baseline,0.5,0.45,-0.1467760612571397,0.12113973281040796,3.2350284510125973,3.45489842122925,P
baseline,0.5,0.46,-0.14329916273915058,0.12461663132839709,3.244723454987576,3.4652523499300876,P
baseline,0.5,0.47000000000000003,-0.13980426126449194,0.12811153280305573,3.2544768038460217,3.4756685889471495,P
baseline,0.5,0.48,-0.13629136579178075,0.13162442827576692,3.2642888487095445,3.486147513266163,P
baseline,0.5,0.49,-0.13276048592718867,0.135155308140359,3.27415994281282,3.496689500129535,P
baseline,0.5,0.5,-0.12921163192372415,0.13870416214382353,3.2840904415163017,3.507294929049933,P
baseline,0.5,0.51,-0.1256448146804436,0.14227097938710406,3.294080702319016,3.5179641818239427,P
baseline,0.5,0.52,-0.1220600457415939,0.14585574832595377,3.304131084871431,3.5286976425458167,P
baseline,0.5,0.53,-0.11845733729568411,0.14945845677186356,3.314241950988404,3.5394956976213,P
baseline,0.5,0.54,-0.11483670217448944,0.15307909189305824,3.324413664662206,3.5503587357815407,P
baseline,0.5,0.55,-0.11119815385198423,0.15671764021556345,3.3346465920756287,3.5612871480970867,P
baseline,0.5,0.56,-0.10754170644320749,0.1603740876243402,3.3449411016151647,3.5722813279919623,P
baseline,0.5,0.5700000000000001,-0.10386737470305862,0.16404841936448905,3.3552975638842675,3.5833416712578288,P
baseline,0.5,0.58,-0.10017517402502482,0.16774062004252285,3.3657163517166984,3.5944685760682393,P
baseline,0.5,0.59,-0.09646512043984046,0.17145067362770722,3.3761978401899455,3.6056624429929705,P
baseline,0.5,0.6,-0.09273723061407749,0.1751785634534702,3.386742406638724,3.6169236750124383,P
baseline,0.5,0.61,-0.08899152184866904,0.17892427221887863,3.3973504306685665,3.628252677532213,P
baseline,0.5,0.62,-0.08522801207736438,0.1826877819901833,3.408022294169482,3.639649858397607,P
baseline,0.5,0.63,-0.08144671986511737,0.1864690742024303,3.418758381329711,3.651115627908365,P
baseline,0.5,0.64,-0.07764766440640708,0.1902681296611406,3.429559078649549,3.6626503988334256,P
baseline,0.5,0.65,-0.0738308655234926,0.19408492854405507,3.440424774955267,3.6742545864257887,P
baseline,0.5,0.66,-0.06999634366460059,0.1979194504029471,3.4513558614131052,3.6859286084374605,P
baseline,0.5,0.67,-0.06614411990204722,0.20177167416550046,3.462352731543357,3.697672885134495,P
baseline,0.5,0.68,-0.062274215930294335,0.20564157813725334,3.473415781234535,3.709487839312121,P
baseline,0.5,0.6900000000000001,-0.05838665406394003,0.20952914000360764,3.4845454087576226,3.7213738963099656,P
baseline,0.5,0.7000000000000001,-0.05448145723564446,0.21343433683190322,3.4957420147804115,3.7333314840273633,P
baseline,0.5,0.71,-0.05055864899399137,0.2173571450735563,3.507006002381929,3.7453610329387637,P
baseline,0.5,0.72,-0.04661825350128407,0.2212975405662636,3.5183377770669453,3.7574629761092275,P
baseline,0.5,0.73,-0.04266029553127987,0.2252554985362678,3.529737746780572,3.7696377492100153,P
baseline,0.5,0.74,-0.03868480046685857,0.2292309936006891,3.541206321922951,3.7818857905342735,P
baseline,0.5,0.75,-0.034691794297630085,0.2332239997699176,3.552743915364025,3.7942075410128124,P
baseline,0.5,0.76,-0.030681303617478728,0.23723449045006895,3.5643509424584057,3.8066034442299816,P
