scenario,z,G,d_P,consumer_platform_wedge,regime,platform_share,consumer_price_index,producer_entry_threshold_G_E,local_producer_income,nominal_local_income,consumption_equivalent_income
baseline,0.5,0.8,0.4,1.0,P,0.7654736973358506,0.8287204603409497,0.21061932690558702,1.2484897704210796,3.651630827879798,3.8998153411000236
facilitation,0.5,1.15,0.4,1.0,L,0.7654736973358506,0.8287204603409497,0.21061932690558702,3.960584815635724,8.056173826263636,8.603714821980791
external_channel_restriction,0.5,0.8,0.5,1.1,L,0.6695999405698552,0.8875192331262577,0.7188019956920843,3.565811633299646,7.6656969070174,7.992624742145119
