vartheta,G,z,platform_share,nominal_income_effect,real_income_effect,nominal_income,real_income,nominal_income_index,real_income_index,consumer_price_index,regime
0.05,0.17801073614096374,0.0,0.21130570018256817,-0.3504153445520018,-0.27645834948810294,2.0025063488076564,1.9645400187075042,1.0,1.0,1.056212955723166,0
0.05,0.17801073614096374,0.0075,0.21762293556508933,-0.3570522501162434,-0.28088422266846214,1.9972006577755894,1.9604382174505666,0.997350474801128,0.9979120805797399,1.0545155105476287,0
0.05,0.17801073614096374,0.015,0.22407537497684202,-0.3636226708639511,-0.2851962896220564,1.991810358022233,1.9562808632166697,0.9946586981899997,0.995795883304903,1.0527703787522575,0
0.05,0.17801073614096374,0.0225,0.23066272352694134,-0.37011482908434146,-0.289382875849912,1.986337289061555,1.9520700974562677,0.9919255887724256,0.9936524982273252,1.0509767415547924,0
0.05,0.17801073614096374,0.03,0.2373844802577759,-0.3765167164228624,-0.2934321483326408,1.9807834654419791,1.9478082226506621,0.9891521525619074,0.991483097367571,1.0491337971571602,0
0.05,0.17801073614096374,0.0375,0.24423993077188524,-0.38281613063015946,-0.29733215485999964,1.9751510767625795,1.943497701912774,0.9863394829877243,0.9892889345117163,1.047240762797321,0
0.05,0.17801073614096374,0.045,0.2512281403081434,-0.38900071517341034,-0.30107086606556016,1.9694424869801095,1.9391411579291828,0.9834887605488821,0.9870713446728199,1.0452968768403346,0
0.05,0.17801073614096374,0.0525,0.25834794733002264,-0.3950580015775692,-0.30463622001206125,1.9636602329816986,1.9347413712211174,0.980601252101354,0.9848317432057242,1.0433014009019939,0
0.05,0.17801073614096374,0.06,0.2655979576890529,-0.4009754543301906,-0.3080161691390221,1.9578070224024817,1.9303012777061785,0.9776783097682612,0.9825716245659115,1.0412536219977946,0
0.05,0.17801073614096374,0.0675,0.27297653942635997,-0.40674051814936046,-0.3111987293501345,1.9518857306723665,1.9258239655470961,0.9747213694651052,0.980292560705442,1.039152854709441,0
0.05,0.17801073614096374,0.075,0.28048181827432583,-0.41234066738030434,-0.3141720309842903,1.9458993972813976,1.9213126712786688,0.9717319490347863,0.9779961991014695,1.0369984433605488,0
0.05,0.17801073614096374,0.08249999999999999,0.2881116739189399,-0.41776345725300257,-0.31692437138137364,1.93985122125885,1.9167707752092151,0.96871164598998,0.9756842604154651,1.0347897641926973,0
0.05,0.17801073614096374,0.09,0.2958637370812426,-0.4229965767011311,-0.3194442687226962,1.9337445558671127,1.9122017960983262,0.9656621348633995,0.9733585357840601,1.0325262275325142,0
0.05,0.17801073614096374,0.0975,0.3037353874734178,-0.42802790241243577,-0.3217205167967395,1.9275829025175908,1.9076093851183378,0.9625851641695533,0.9710208837452842,1.0302072799400441,0
0.05,0.17801073614096374,0.105,0.31172375268151287,-0.43284555375277667,-0.32374224031424714,1.9213699039222198,1.9029973191127976,0.9594825529847897,0.9686732268069569,1.0278324063282867,0
0.05,0.17801073614096374,0.11249999999999999,0.31982570802249355,-0.4374379481811178,-0.32549895037324506,1.9151093365006013,1.898369493171056,0.9563561871556145,0.9663175476669685,1.0254011320434713,0
0.05,0.17801073614096374,0.12,0.328037877418331,-0.44179385675119204,-0.3269805996547762,1.9088051020692405,1.893729912544057,0.9532080151485123,0.9639558850982155,1.0229130248953915,0
0.05,0.17801073614096374,0.1275,0.33635663532413357,-0.44590245927798766,-0.32817763691454094,1.9024612188457621,1.8890826839322485,0.9500400435576828,0.9615903295139286,1.0203676971269517,0
0.05,0.17801073614096374,0.135,0.34477810974097983,-0.4497533987339975,-0.32908106032465456,1.8960818118072094,1.884432006182253,0.9468543322902248,0.9592230182320464,1.017764807311978,0
0.05,0.17801073614096374,0.1425,0.3532981863371098,-0.4533368344317861,-0.3296824692137976,1.8896711024475648,1.87978216043446,0.943652989451306,0.9568561304600924,1.0151040621703415,0
0.05,0.17801073614096374,0.15,0.36191251369358296,-0.45664349354619366,-0.32997411375343966,1.8832333979853175,1.8751374997689103,0.9404381659547012,0.9544918820246722,1.012385218289522,0
0.05,0.17801073614096374,0.1575,0.37061650968242715,-0.4596647205316694,-0.3299489421428199,1.8767730800772047,1.8705024384017308,0.9372120498867249,0.9521325198721877,1.0096080837419046,0
0.05,0.17801073614096374,0.16499999999999998,0.37940536897679167,-0.4623925239979908,-0.32960064485611373,1.8702945930990933,1.8658814404887851,0.9339768606540072,0.9497803163696162,1.0067725195873762,0
0.05,0.17801073614096374,0.1725,0.38827407168376277,-0.46481962062107474,-0.32892369553175776,1.8638024320592406,1.861279008597164,0.9307348429476872,0.9474375634362099,1.003878441251151,0
0.05,0.17801073614096374,0.18,0.39721739308137116,-0.4669394756846783,-0.3279133881061984,1.8573011302128584,1.8566996719085163,0.9274882605584461,0.9451065665386967,1.0009258197672068,0
0.05,0.17801073614096374,0.1875,0.40622991443206613,-0.46874633987343745,-0.3265658698222143,1.8507952464499107,1.8521479742209948,0.9242393900782994,0.9427896385839706,0.9979146828782808,0
0.05,0.17801073614096374,0.195,0.41530603483561324,-0.47023528196763786,-0.32487816977517325,1.8442893525303825,1.8476284618187289,0.9209905145262184,0.94048909374435,0.9948451159840103,0
0.05,0.17801073614096374,0.20249999999999999,0.424439984075152,-0.4714022171250606,-0.3228482226987574,1.837788020242801,1.8431456712791763,0.917743916935428,0.9382072412512142,0.9917172629295553,0
0.05,0.17801073614096374,0.21,0.4336258364011165,-0.4722439304747451,-0.32047488773435434,1.8312958085625919,1.8387041172894611,0.9145018739406207,0.9359463791932159,0.9885313266278514,0
0.05,0.17801073614096374,0.2175,0.4428575251890083,-0.47275809579105316,-0.31775796197490025,1.8248172508868348,1.8343082805428177,0.9112666494033228,0.9337087883552672,0.9852875695095512,0
0.05,0.17801073614096374,0.22499999999999998,0.45212885839874417,-0.4729432890634052,-0.3146981886238448,1.8183568424212204,1.8299625957855892,0.908040488113267,0.9314967261341639,0.9819863137956825,0
0.05,0.17801073614096374,0.23249999999999998,0.4614335347555847,-0.4727989968268019,-0.3112972596623472,1.8119190277934447,1.8256714400838219,0.9048256096028399,0.929312420565988,0.9786279415890863,0
0.05,0.17801073614096374,0.24,0.47076516056560286,-0.4723256191700299,-0.3075578129720689,1.8055081889649909,1.8214391213764214,0.9016242021105385,0.927158064499378,0.975212894781788,0
0.05,0.17801073614096374,0.2475,0.48011726707238256,-0.47152446739148524,-0.30348342391615135,1.7991286335102281,1.8172698673791001,0.8984384167278547,0.9250358099473611,0.9717416747765798,0
0.05,0.17801073614096374,0.255,0.48948332825622753,-0.4703977563260462,-0.29907859143636656,1.7927845833280949,1.813167814899999,0.895270361762181,0.922947762648737,0.9682148420222599,0
0.05,0.17801073614096374,0.2625,0.4988567789727054,-0.46894859141956685,-0.29434871877911994,1.786480163847344,1.8091369996239521,0.8921220973461882,0.9208959768680133,0.964633015363144,0
0.05,0.17801073614096374,0.27,0.5082310333239092,-0.46718095067953685,-0.28930008901616866,1.780219393781504,1.805181346417955,0.8889956303217177,0.9188824504606461,0.960996871204657,0
