infrastructure_case,G,z,from_regime,to_regime,nominal_left_index,nominal_right_index,real_left_index,real_right_index
low,0.18,0.5161154352134676,0,P,0.8071058810408034,1.6514628027450282,0.8824564403520749,1.8056416394896302
low,0.18,0.9794715095294434,P,L,1.7893223927656614,3.7046299038807335,2.2654300880912155,4.69036775229863
middle,0.3,0.45295754047663045,0,P,0.823590971803267,1.6851938346128412,0.8856566014922266,1.8121896615148665
middle,0.3,0.9163136147926324,P,L,1.7948662835405325,3.7161080274606437,2.2243263793439403,4.605266247281324
high,1.12,0.02137859310820393,0,P,0.9923368353660451,2.030473832364369,0.9939746627518131,2.033825079169094
high,1.12,0.48473466742421123,P,L,1.9250734365654047,3.9856901411956325,2.087168084263959,4.321292423685887
